IC - NGC,Name,Messier,NGC,IC,Object Type abrev.,Object type,ra,dec,Constellation,Major axis,Minor axis,Position angle,b_mag,v_mag,j_mag,h_mag,k_mag,Surface Brigthness,Hubble (only Galaxies),Cstar U-Mag (only Planetary Nebulae),Cstar B-Mag (only Planetary Nebulae),Cstar V-Mag (only Planetary Nebulae),Cstar Names (only Planetary Nebulae),identifiers,common_names,ned_notes,openngc_notes,Image
IC,IC1,,,,**,Double star,00:08:27.05,+27:43:03.6,Peg,,,,,,,,,,,,,,,,,,,
IC,IC4,,,,G,Galaxy,00:13:26.94,+17:29:11.2,Peg,1.17,0.84,12,14.2,,11.51,10.65,10.5,23.01,Sc,,,,,2MASX J00132695+1729111,,,,
IC,IC6,,,,G,Galaxy,00:18:55.04,-03:16:33.9,Psc,1.23,1.08,146,14.5,,11.03,10.32,10.08,23.89,E,,,,,2MASX J00185505-0316339,,,,
IC,IC8,,,,G,Galaxy,00:19:02.72,-03:13:19.5,Psc,0.82,0.34,129,15.16,,12.7,12.08,12.08,23.4,E?,,,,,2MASX J00190272-0313196,,,,
IC,IC11,,NGC281,,Dup,Galaxy,00:52:59.35,+56:37:18.8,Cas,,,,,,,,,,,,,,,,,,,
IC,IC14,,,,**,Double star,00:22:31.29,+10:29:24.9,Psc,,,,,,,,,,,,,,,,,,,
IC,IC16,,,,G,Galaxy,00:28:07.65,-13:05:38.1,Cet,0.58,0.32,62,15.15,,12.75,12.05,11.71,23,S0-a,,,,,2MASX J00280763-1305379,,,,
IC,IC17,,,,G,Galaxy,00:28:29.78,+02:38:55.0,Psc,0.67,0.54,102,14.8,,11.68,10.96,10.78,23.04,E?,,,,,2MASX J00282976+0238549,,,,
IC,IC18,,,,G,Galaxy,00:28:34.96,-11:35:12.1,Cet,1.08,0.41,29,15.03,,12.14,11.39,11.04,23.62,Sb,,,,,2MASX J00283495-1135123,,,,
IC,IC20,,,,G,Galaxy,00:28:39.68,-13:00:37.1,Cet,0.91,0.77,18,14.88,,11.4,10.65,10.51,23.41,S0,,,,,2MASX J00283968-1300366,,,,
IC,IC22,,,,G,Galaxy,00:29:33.17,-09:04:50.7,Cet,0.81,0.44,45,14.73,,11.63,10.98,10.73,23.07,S0,,,,,2MASX J00293318-0904510,,,,
IC,IC24,,,,**,Double star,00:31:16.63,+30:50:21.5,And,,,,,,,,,,,,,,,,,,,
IC,IC27,,,,G,Galaxy,00:33:06.24,-13:22:17.4,Cet,0.58,0.34,148,15.6,,13.49,12.84,12.39,23.37,,,,,,2MASX J00330625-1322173,,,,
IC,IC36,,,,G,Galaxy,00:37:49.65,-15:26:28.6,Cet,0.31,0.3,60,15.62,,12.72,12.07,11.67,,,,,,,2MASX J00374962-1526288,,,,
IC,IC38,,,,G,Galaxy,00:38:38.76,-15:25:11.4,Cet,0.77,0.57,65,15.02,,12.41,11.72,11.39,22.93,Sc,,,,,2MASX J00383875-1525112,,,,
IC,IC42,,,,G,Galaxy,00:41:05.84,-15:25:41.1,Cet,0.76,0.53,56,15.38,,12.81,11.98,11.74,23.25,SABc,,,,,2MASX J00410585-1525410,,,,
IC,IC43,,,,G,Galaxy,00:42:22.06,+29:38:29.9,And,1.26,1.15,87,14.4,,11.23,10.56,10.24,23.13,SABc,,,,,2MASX J00422206+2938298,,,,
IC,IC47,,,,G,Galaxy,00:42:55.01,-13:44:26.6,Cet,0.41,0.24,100,16.09,,12.72,12.02,11.75,,,,,,,2MASX J00425503-1344264,,,,
IC,IC49,,,,G,Galaxy,00:43:56.13,+01:51:01.0,Cet,1.28,1.04,77,14.5,,12.83,12.62,12.06,23.39,SABc,,,,,2MASX J00435616+0151011,,,,
IC,IC50,,,,G,Galaxy,00:46:05.71,-09:30:10.8,Cet,1.02,0.87,169,14.74,,11.45,10.71,10.49,23.71,E,,,,,2MASX J00460569-0930109,,,,
IC,IC59,,,,RfN,Reflection Nebula,00:57:28.61,+61:08:37.2,Cas,10,5,,,,,,,,,,,,,LBN 620,,,,
IC,IC61,,,,G,Galaxy,00:57:07.20,+07:30:25.5,Psc,1.34,1.29,175,15.3,,11.65,10.97,10.54,24.61,S0,,,,,2MASX J00570722+0730255,,,,
IC,IC69,,,,G,Galaxy,01:01:23.66,+31:02:27.0,Psc,0.76,0.41,71,14.7,,11.89,11.02,10.86,23.04,SABb,,,,,2MASX J01012367+3102269,,,,
IC,IC77,,,,G,Galaxy,01:08:43.75,-15:25:15.3,Cet,0.52,0.44,90,16.23,,12.6,11.91,11.75,23.56,S0,,,,,2MASX J01084373-1525148,,,,
IC,IC78,,,,G,Galaxy,01:08:47.70,-15:50:42.3,Cet,1.75,0.75,126,15.24,,11.08,10.4,10.08,24.55,Sa,,,,,2MASX J01084768-1550427,,,,
IC,IC79,,,,G,Galaxy,01:08:49.71,-15:56:54.9,Cet,1.24,0.91,158,14.93,,11.25,10.54,10.29,24.12,E-S0,,,,,2MASX J01084970-1556547,,,,
IC,IC80 NED01,,,,G,Galaxy,01:08:50.70,-15:24:32.2,Cet,1.5,1.03,83,14.75,,,,,24.48,E,,,,,MCG -03-04-009,,,,
IC,IC89,,NGC446,,Dup,Galaxy,01:16:03.61,+04:17:38.8,Psc,,,,,,,,,,,,,,,,,,,
IC,IC90,,,,G,Galaxy,01:16:30.35,-07:58:37.7,Cet,1.25,1.12,146,14.52,,11.02,10.36,10.12,24.14,E,,,,,2MASX J01163034-0758369,,,,
IC,IC98,,,,G,Galaxy,01:20:54.88,-12:36:17.0,Cet,0.68,0.61,55,16.3,,12.14,11.39,11.14,23.87,,,,,,2MASX J01205488-1236162,,,,
IC,IC100,,,,G,Galaxy,01:22:53.96,-04:38:34.9,Cet,1.04,0.77,88,14.48,,11.26,10.56,10.24,23.36,E-S0,,,,,2MASX J01225395-0438353,,,,
IC,IC101,,,,G,Galaxy,01:24:08.55,+09:55:49.9,Psc,1.24,0.59,124,15.1,,12.48,11.78,11.88,23.76,Sb,,,,,2MASX J01240854+0955500,,,,
IC,IC102,,,,G,Galaxy,01:24:26.33,+09:53:11.6,Psc,0.75,0.37,111,15.6,,12.65,11.95,11.68,23.59,S0-a,,,,,2MASX J01242632+0953114,,,,
IC,IC106,,NGC530,,Dup,Galaxy,01:24:41.65,-01:35:13.5,Cet,,,,,,,,,,,,,,,,,,,
IC,IC111,,,,Other,,01:26:00.13,+33:29:49.6,Psc,,,,,,,,,,,,,,,,,Nominal position. IC 111 may be the stars at 01 23 10,,
IC,IC118,,,,G,Galaxy,01:27:36.04,-04:59:50.9,Cet,0.72,0.55,31,15.81,,12.19,11.49,11.23,23.9,E,,,,,2MASX J01273603-0459505,,,,
IC,IC119,,,,G,Galaxy,01:27:55.02,-02:02:25.7,Cet,1.19,0.58,77,15,,11.6,10.93,10.7,24.04,S0-a,,,,,2MASX J01275502-0202255,,,,
IC,IC122,,,,G,Galaxy,01:28:13.20,-14:50:20.0,Cet,0.65,0.32,14,15.96,,12.81,12.11,11.82,23.64,S0-a,,,,,2MASX J01281322-1450197,,,,
IC,IC123,,,,G,Galaxy,01:28:51.46,+02:26:47.2,Cet,0.67,0.47,44,16.09,15.21,12.11,11.45,11.14,23.24,E,,,,,2MASX J01285148+0226476,,,,
IC,IC128,,,,G,Galaxy,01:31:23.87,-12:37:27.8,Cet,0.82,0.61,165,15.35,,13.31,12.73,12.82,23.31,SBc,,,,,2MASX J01312388-1237277,,,,
IC,IC146,,NGC648,,Dup,Galaxy,01:38:39.79,-17:49:52.3,Cet,,,,,,,,,,,,,,,,,,,
IC,IC148,,,,G,Galaxy,01:42:26.97,+13:58:37.3,Psc,1.82,0.57,45,13.44,,,,,23.07,I,,,,,MCG +02-05-011,,,,
IC,IC155,,,,Other,,01:47:32.33,+60:36:39.0,Cas,,,,,,,,,,,,,,,,,Nominal position; nothing here.,,
IC,IC157,,,,Other,,01:45:42.40,+12:52:24.0,Psc,,,,,,,,,,,,,,,,,Nominal position; nothing here.,,
IC,IC160,,,,G,Galaxy,01:46:29.56,-13:14:51.8,Cet,1.28,0.86,85,14.88,,11.32,10.63,10.32,24.16,E-S0,,,,,2MASX J01462955-1314514,,,,
IC,IC161,,,,G,Galaxy,01:48:43.74,+10:30:28.4,Ari,0.9,0.54,67,14.8,,11.54,10.88,10.59,22.95,S0-a,,,,,2MASX J01484377+1030287,,,,
IC,IC164,,,,G,Galaxy,01:49:08.41,-03:54:15.8,Cet,1.58,1.35,167,13.5,,10.63,9.95,9.67,23.9,E,,,,,2MASX J01490840-0354157,,,,
IC,IC166,,,,OCl,Open Cluster,01:52:23.82,+61:51:09.4,Cas,7.5,,,13,11.7,,,,,,,,,,MWSC 0146,,,,
